fare_id,price,currency_type,payment_method,transfers,transfer_duration,agency_id
2000020343021_150_00,150,JPY,0,0,,2000020343021
9240001009470_150_00,150,JPY,0,0,,9240001009470
9240001009470_160_00,160,JPY,0,0,,9240001009470
9240001009470_170_00,170,JPY,0,0,,9240001009470
9240001009470_180_00,180,JPY,0,0,,9240001009470
9240001009470_190_00,190,JPY,0,0,,9240001009470
9240001009470_200_00,200,JPY,0,0,,9240001009470
9240001009470_210_00,210,JPY,0,0,,9240001009470
9240001009470_220_00,220,JPY,0,0,,9240001009470
9240001009470_230_00,230,JPY,0,0,,9240001009470
9240001009470_240_00,240,JPY,0,0,,9240001009470
9240001009470_250_00,250,JPY,0,0,,9240001009470
9240001009470_260_00,260,JPY,0,0,,9240001009470
9240001009470_270_00,270,JPY,0,0,,9240001009470
9240001009470_280_00,280,JPY,0,0,,9240001009470
9240001009470_290_00,290,JPY,0,0,,9240001009470
9240001009470_300_00,300,JPY,0,0,,9240001009470
9240001009470_310_00,310,JPY,0,0,,9240001009470
9240001009470_320_00,320,JPY,0,0,,9240001009470
9240001009470_330_00,330,JPY,0,0,,9240001009470
9240001009470_340_00,340,JPY,0,0,,9240001009470
9240001009470_350_00,350,JPY,0,0,,9240001009470
9240001009470_360_00,360,JPY,0,0,,9240001009470
9240001009470_370_00,370,JPY,0,0,,9240001009470
9240001009470_380_00,380,JPY,0,0,,9240001009470
9240001009470_390_00,390,JPY,0,0,,9240001009470
9240001009470_400_00,400,JPY,0,0,,9240001009470
9240001009470_410_00,410,JPY,0,0,,9240001009470
9240001009470_420_00,420,JPY,0,0,,9240001009470
9240001009470_430_00,430,JPY,0,0,,9240001009470
9240001009470_440_00,440,JPY,0,0,,9240001009470
9240001009470_450_00,450,JPY,0,0,,9240001009470
9240001009470_460_00,460,JPY,0,0,,9240001009470
9240001009470_470_00,470,JPY,0,0,,9240001009470
9240001009470_480_00,480,JPY,0,0,,9240001009470
9240001009470_490_00,490,JPY,0,0,,9240001009470
9240001009470_500_00,500,JPY,0,0,,9240001009470
9240001009470_510_00,510,JPY,0,0,,9240001009470
9240001009470_520_00,520,JPY,0,0,,9240001009470
9240001009470_530_00,530,JPY,0,0,,9240001009470
9240001009470_540_00,540,JPY,0,0,,9240001009470
9240001009470_550_00,550,JPY,0,0,,9240001009470
9240001009470_560_00,560,JPY,0,0,,9240001009470
9240001009470_570_00,570,JPY,0,0,,9240001009470
9240001009470_580_00,580,JPY,0,0,,9240001009470
9240001009470_590_00,590,JPY,0,0,,9240001009470
9240001009470_600_00,600,JPY,0,0,,9240001009470
9240001009470_610_00,610,JPY,0,0,,9240001009470
9240001009470_620_00,620,JPY,0,0,,9240001009470
9240001009470_630_00,630,JPY,0,0,,9240001009470
9240001009470_640_00,640,JPY,0,0,,9240001009470
9240001009470_650_00,650,JPY,0,0,,9240001009470
9240001009470_660_00,660,JPY,0,0,,9240001009470
9240001009470_670_00,670,JPY,0,0,,9240001009470
9240001009470_680_00,680,JPY,0,0,,9240001009470
9240001009470_690_00,690,JPY,0,0,,9240001009470
9240001009470_700_00,700,JPY,0,0,,9240001009470
9240001009470_710_00,710,JPY,0,0,,9240001009470
9240001009470_720_00,720,JPY,0,0,,9240001009470
9240001009470_730_00,730,JPY,0,0,,9240001009470
9240001009470_740_00,740,JPY,0,0,,9240001009470
9240001009470_750_00,750,JPY,0,0,,9240001009470
9240001009470_760_00,760,JPY,0,0,,9240001009470
9240001009470_770_00,770,JPY,0,0,,9240001009470
9240001009470_780_00,780,JPY,0,0,,9240001009470
9240001009470_790_00,790,JPY,0,0,,9240001009470
9240001009470_800_00,800,JPY,0,0,,9240001009470
9240001009470_810_00,810,JPY,0,0,,9240001009470
9240001009470_820_00,820,JPY,0,0,,9240001009470
9240001009470_830_00,830,JPY,0,0,,9240001009470
9240001009470_840_00,840,JPY,0,0,,9240001009470
9240001009470_850_00,850,JPY,0,0,,9240001009470
9240001009470_860_00,860,JPY,0,0,,9240001009470
9240001009470_870_00,870,JPY,0,0,,9240001009470
9240001009470_880_00,880,JPY,0,0,,9240001009470
9240001009470_890_00,890,JPY,0,0,,9240001009470
9240001009470_900_00,900,JPY,0,0,,9240001009470
9240001009470_910_00,910,JPY,0,0,,9240001009470
9240001009470_920_00,920,JPY,0,0,,9240001009470
9240001009470_930_00,930,JPY,0,0,,9240001009470
9240001009470_940_00,940,JPY,0,0,,9240001009470
9240001009470_950_00,950,JPY,0,0,,9240001009470
9240001009470_960_00,960,JPY,0,0,,9240001009470
9240001009470_970_00,970,JPY,0,0,,9240001009470
9240001009470_980_00,980,JPY,0,0,,9240001009470
9240001009470_990_00,990,JPY,0,0,,9240001009470
9240001009470_1000_00,1000,JPY,0,0,,9240001009470
9240001009470_1010_00,1010,JPY,0,0,,9240001009470
9240001009470_1020_00,1020,JPY,0,0,,9240001009470
9240001009470_1030_00,1030,JPY,0,0,,9240001009470
9240001009470_1040_00,1040,JPY,0,0,,9240001009470
9240001009470_1050_00,1050,JPY,0,0,,9240001009470
9240001009470_1060_00,1060,JPY,0,0,,9240001009470
9240001009470_1070_00,1070,JPY,0,0,,9240001009470
9240001009470_1080_00,1080,JPY,0,0,,9240001009470
9240001009470_1090_00,1090,JPY,0,0,,9240001009470
9240001009470_1100_00,1100,JPY,0,0,,9240001009470
9240001009470_1110_00,1110,JPY,0,0,,9240001009470
9240001009470_1120_00,1120,JPY,0,0,,9240001009470
9240001009470_1130_00,1130,JPY,0,0,,9240001009470
9240001009470_1140_00,1140,JPY,0,0,,9240001009470
9240001009470_1150_00,1150,JPY,0,0,,9240001009470
