route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
3121747758,9240001009470,61-4,五月が丘団地・免許センター・ジ アウトレット広島・そらの線,,3,,,
1575523948,9240001009470,,地毛フィーダー線,,3,,,
573034510,9240001009470,202,西風みなとライン,,3,,,
1239935042,9240001009470,10,10号線,,3,,,
1703362944,9240001009470,7,7号線,,3,,,
3182592615,9240001009470,12-3,12号線,,3,,,
257575594,9240001009470,6,6号線,,3,,,
1354275950,9240001009470,21,焼山熊野苗代線,,3,,,
1250738100,9240001009470,40-11,広島～熊野方面,,3,,,
4094897076,9240001009470,28-2,アルパーク・新井口駅発着,,3,,,
2136956995,9240001009470,2,2号線,,3,,,
392768293,9240001009470,70H,あさひが丘線,,3,,,
3704685485,9240001009470,7-1,7号線,,3,,,
1835444037,9240001009470,61,五月が丘団地・免許センター・ジ アウトレット広島・そらの線,,3,,,
657539703,9240001009470,55-1,西広島バイパス線,,3,,,
1342502491,9240001009470,3,矢野～熊野・焼山方面,,3,,,
940910428,9240001009470,40,広島～熊野方面,,3,,,
3672136958,9240001009470,4,4号線,,3,,,
221411867,9240001009470,1-1,呉倉橋島線,,3,,,
751400627,9240001009470,72K,上根・吉田線,,3,,,
3417915761,9240001009470,55,西広島バイパス線,,3,,,
2290197968,9240001009470,4-2,4号線,,3,,,
920863530,9240001009470,75K,三段峡線,,3,,,
360868713,9240001009470,3,3号線,,3,,,
1870599885,9240001009470,,イオンモールシャトル,,3,,,
669378095,9240001009470,61-1,五月が丘団地・免許センター・ジ アウトレット広島・そらの線,,3,,,
2508766315,9240001009470,1,五日市駅北口発着,,3,,,
2205040253,9240001009470,31,辰川線,,3,,,
4056640466,9240001009470,16,阿品駅発着（阿品台線）,,3,,,
2690976312,9240001009470,2,五日市駅北口発着,,3,,,
3178734657,9240001009470,,高速：三次・庄原線,,3,,,
1848824191,9240001009470,54,西広島バイパス線,,3,,,
99204569,9240001009470,52,西広島バイパス線,,3,,,
2470750945,9240001009470,12-1,12号線,,3,,,
447769108,9240001009470,28-7,アルパーク・新井口駅発着,,3,,,
3624648661,9240001009470,3-4,矢野～熊野・焼山方面,,3,,,
206984685,9240001009470,322,広島駅～大学病院前,,3,,,
2666792144,9240001009470,7-3,7号線,,3,,,
3075957802,9240001009470,55-3,西広島バイパス線,,3,,,
1706179410,9240001009470,74-7,三段峡線,,3,,,
2196302066,9240001009470,41-1,広島～熊野・焼山方面,,3,,,
2254666276,9240001009470,15-7,阿品駅発着（阿品台線）,,3,,,
2506384167,9240001009470,6-1,6号線,,3,,,
