route_id,route_update_date,origin_stop,via_stop,destination_stop,jp_parent_route_id
3121747758,,広島バスセンター,,ジアウトレット広島,広島セ～横川駅・修大キ・免許セ～ジア広（広島バスセンター発）
1575523948,,薬師が丘団地,,地毛,薬師が丘団地～地毛（薬師が丘団地発）
573034510,,広島港桟橋,,免許センター,免許センター～広島港桟橋（広島港桟橋発）
1239935042,,己斐,,市役所前,己斐～急～市役所（己斐発）
1703362944,,向洋新町車庫,,紙屋町,（7号）向洋新町～紙屋町（向洋新町車庫発）
3182592615,,仁保沖町,,東浄小学校前,東浄小～市役所～仁保沖町（仁保沖町発）
257575594,,牛田早稲田団地,,江波営業所,牛田早稲田～直電～江波営（牛田早稲田団地発）
1354275950,,熊野営業所,,呉駅前,熊野営業所～市役所～呉駅（熊野営業所発）
1250738100,,矢野駅前,,熊野営業所,矢野駅～旧道・団～営業所（矢野駅前発）
4094897076,,アルパーク,,美鈴が丘高校,アルパーク～美鈴高校（アルパーク発）
2136956995,,府中ニュータウン,,市役所前,府中NT～南公～市役所（府中ニュータウン発）
392768293,,沼田高校,,八丁堀,沼田高校～八丁堀（沼田高校発）
3704685485,,県庁前,,仁保車庫前,（7号）県庁～仁保車庫（県庁前発）
1835444037,,そらの北,,広島バスセンター,広島セ～横川駅・修大キ・五月二・免許セ～そら北（そらの北発）
657539703,,広島バスセンター,,薬師が丘団地,薬師～田方NS・市～BC（広島バスセンター発）
1342502491,,団地西入口,,矢野駅前,団地西～営業所～矢南５～矢野駅（団地西入口発）
940910428,,熊野萩原車庫前,,広島バスセンター,センタ～向洋～矢野駅～団地～萩原（熊野萩原車庫前発）
3672136958,,仁保車庫前,,県庁前,（4号）県庁～駅・仁保南～仁保車庫（仁保車庫前発）
221411867,,呉駅前,,本浦（呉市）,呉駅～本浦（呉駅前発）
751400627,,広電吉田出張所,,広島バスセンター,広島センター～可部～安芸高田市役所～吉田（広電吉田出張所発）
3417915761,,東観音台団地,,広島バスセンター,東観～側道・市～BC（東観音台団地発）
2290197968,,県庁前,,仁保車庫前,（4号）県庁～駅・仁保南～仁保車庫（県庁前発）
920863530,,広島バスセンター,,三段峡,広島センター～加計ＢＳ～三段峡【高速】（広島バスセンター発）
360868713,,観音新町三丁目,,広島駅,広島駅～観音新町3丁目（観音新町三丁目発）
1870599885,,広島駅新幹線口,,イオンモール広島府中,（シャトル）新幹線口～イオンモール（広島駅新幹線口発）
669378095,,広島バスセンター,,免許センター,広島セ～横川メ・修大キ～免許セ（広島バスセンター発）
2508766315,,東観音台団地,,五日市駅北口,北口～地毛～東観（東観音台団地発）
2205040253,,辰川,,日本製鉄前,辰川～呉駅前～日新製鋼前（辰川発）
4056640466,,阿品台北,,広電阿品駅,広電阿品～日赤～阿品北（阿品台北発）
2690976312,,美鈴が丘高校,,五日市駅北口,北口～中地～美鈴高校（美鈴が丘高校発）
3178734657,,三次もののけミュージアム,,広島バスセンター,広島センター～（急行）大塚・高速～もののけ（三次もののけミュージアム発）
1848824191,,彩が丘団地,,本通り,彩が丘⇒美鈴が丘・市役所⇒本通り（彩が丘団地発）
99204569,,美鈴が丘高校,,広島バスセンター,美鈴高校～側道・己斐～広島BC（美鈴が丘高校発）
2470750945,,東区スポ－ツセンタ－入口,,仁保沖町,東区SC入口～仁保沖町（東区スポ－ツセンタ－入口発）
447769108,,アルパーク,,井口台パークタウン,アルパーク～井口台（アルパーク発）
3624648661,,矢野駅前,,宮ヶ迫団地入口,矢野駅前～宮ヶ迫団地入口（矢野駅前発）
