stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
10 2,,広島バスセンター,,34.3963108,132.455932,10 2,,0,0001,,,2
10 3,,広島バスセンター,,34.3962905,132.4560001,10 3,,0,0001,,,3
10 4,,広島バスセンター,,34.3962673,132.4561076,10 4,,0,0001,,,4
10 5,,広島バスセンター,,34.3962396,132.4562271,10 5,,0,0001,,,5
10 50,,広島バスセンター,,34.3962116,132.4563394,10 50,,0,,,,
10 6,,広島バスセンター,,34.3962149,132.456321,10 6,,0,0001,,,6
10 7,,広島バスセンター,,34.3961946,132.4564186,10 7,,0,0001,,,7
10 8,,広島バスセンター,,34.3961692,132.4565235,10 8,,0,0001,,,8
10 9,,広島バスセンター,,34.3961504,132.4566216,10 9,,0,0001,,,9
1000 1,,玖波分れ,,34.3572802,132.2098017,1000 1,,0,,,,
1000 2,,玖波分れ,,34.3571531,132.2104708,1000 2,,0,,,,
1010 1,,河津,,34.3586081,132.2056314,1010 1,,0,,,,
1010 2,,河津,,34.358715,132.2050509,1010 2,,0,,,,
1020 1,,中山,,34.3615979,132.2000139,1020 1,,0,,,,
1020 2,,中山,,34.3617229,132.1995971,1020 2,,0,,,,
1030 1,,浜本工芸前,,34.3646899,132.1921161,1030 1,,0,,,,
1030 2,,浜本工芸前,,34.3644453,132.1923034,1030 2,,0,,,,
1040 1,,佐伯中学校前,,34.3656455,132.191017,1040 1,,0,,,,
1040 2,,佐伯中学校前,,34.3659685,132.1904116,1040 2,,0,,,,
105 1,,アルパーク,,34.37393792,132.3938797,105 1,,0,,,,
105 6,,アルパーク,,34.37365463,132.3945797,105 6,,0,,,,6
1050 1,,佐伯高校前,,34.3662219,132.1871682,1050 1,,0,,,,
1050 2,,佐伯高校前,,34.3661094,132.1870532,1050 2,,0,,,,
1060 1,,津田神社,,34.3660031,132.1827449,1060 1,,0,,,,
1060 2,,津田神社,,34.3659295,132.1826476,1060 2,,0,,,,
1070 1,,十王堂,,34.3661481,132.1789462,1070 1,,0,,,,
1070 2,,十王堂,,34.3660493,132.1788884,1070 2,,0,,,,
1075 1,,さいき文化センター,,34.3663406,132.1776747,1075 1,,0,,,,
1080 1,,佐伯支所,,34.3673471,132.1776869,1080 1,,0,,,,
1080 2,,佐伯支所,,34.3671761,132.1777091,1080 2,,0,,,,
1090 1,,津田,,34.3679368,132.1748553,1090 1,,0,,,,
130 1,,旭園,,34.365617,132.3662963,130 1,,0,,,,
