stop_id,direction
10 2,2 空港ゆき 54・55号佐伯区、64号くすのき台
10 3,3 61号免許センター、52・54号美鈴が丘、53号井口台
10 4,4 62・63号西風新都方面
10 5,5 40号向洋・海田、41号東雲・熊野方面
10 50,降車ホーム側、広島駅ゆき
10 6,6 高速バス等
10 7,7 73・74号古市・祗園・可部方面1
10 8,8 70・72・74号古市・祗園・可部方面2
10 9,9 高速バス：三次・庄原、 32号高陽方面：にぎつ経由
1000 1,廿日市、玖島方面
1000 2,津田方面
1010 1,廿日市、玖島方面
1010 2,津田方面
1020 1,廿日市、玖島方面
1020 2,津田方面
1030 1,廿日市方面
1030 2,津田方面
1040 1,廿日市、玖島方面
1040 2,津田方面
105 1,
105 6,6 28号美鈴・山田団地、井口台方面
1050 1,廿日市、玖島方面
1050 2,津田方面
1060 1,廿日市、玖島方面
1060 2,津田方面
1070 1,廿日市、玖島方面
1070 2,津田方面
1075 1,津田・吉和・玖島・浅原・廿日市市役所方面
1080 1,廿日市、玖島方面
1080 2,津田方面
1090 1,廿日市、玖島方面
130 1,五日市駅方面
130 2,湯来温泉・五日市高校方面
13320 1,広島方面
13320 2,北方面
13330 1,広島方面
13330 2,北方面
13340 1,広島方面
13340 2,北方面
13350 1,広島方面
13350 2,北方面
13370 1,広島方面
13370 2,北方面
13380 1,広島方面
13380 2,北方面
13390 1,広島方面
13390 2,北方面
13400 1,広島方面
13400 2,北方面
13410 1,広島方面
13410 2,北方面
13420 1,広島方面
13420 2,北方面
13430 1,広島方面
13430 2,北方面
13440 1,広島方面
13440 2,北方面
13450 1,広島方面
13450 2,北方面
13460 1,広島方面
13460 2,北方面
13470 1,広島方面
13470 2,北方面
13490 1,広島方面
13490 2,北方面
13500 1,広島方面
13500 2,北方面
13510 1,広島方面
13510 2,北方面
13520 1,広島方面
13520 2,北方面
13530 1,広島方面
13530 2,北方面
13540 1,広島方面
13540 2,北方面
13550 1,広島方面
13550 2,北方面
13560 1,広島方面
13560 2,北方面
13580 1,広島方面
13580 2,北方面
13590 1,広島方面
13590 2,北方面
13600 1,広島方面
13600 2,北方面
13610 1,広島方面
13610 2,北方面
13620 1,広島方面
13620 2,北方面
13630 1,広島方面
13630 2,北方面
13640 1,広島方面
13640 2,北方面
13650 1,広島方面
13650 2,北方面
13660 1,広島方面
13660 2,北方面
13670 1,広島方面
13670 2,北方面
13680 1,広島方面
13680 2,北方面
13690 1,広島方面
13690 2,北方面
13700 1,広島方面
140 1,五日市駅方面
140 2,湯来温泉・五日市高校方面
14740 1,各方面
14760 1,広島方面
14760 2,あさひが丘方面
14770 1,広島方面
14770 2,あさひが丘方面
14780 1,広島方面
14780 2,あさひが丘方面
14790 1,広島方面
14790 2,あさひが丘方面
14800 1,広島方面
14800 2,あさひが丘方面
14810 1,広島方面
14810 2,あさひが丘方面
14820 1,広島方面
14820 2,あさひが丘方面
14830 1,広島方面
14830 2,あさひが丘方面
14840 1,安・古市方面
14840 2,高速４号方面
14850 1,サンハイツ方面、上安駅方面
14850 2,沼田高校方面、瀬戸内ハイツ方面
14860 1,安・古市方面
14860 2,高速４号方面
14870 1,広島方面
14870 2,沼田高校方面
14880 1,大塚方面
14880 2,沼田高校方面
14880 3,古市方面（安川通り）
