trans_id,lang,translation
伴南小学校,ja,伴南小学校
伴南小学校,ja-Hrkt,ともみなみしょうがっこう
向洋新町一丁目,ja,向洋新町一丁目
向洋新町一丁目,ja-Hrkt,むかいなだしんまちいっちょうめ
グランドハイツ前,ja,グランドハイツ前
グランドハイツ前,ja-Hrkt,ぐらんどはいつまえ
沼田ＰＡ,ja,沼田ＰＡ
沼田ＰＡ,ja-Hrkt,ぬまたぱーきんぐ
沼田ＰＡ,en,Numata Parking
沼田ＰＡ,ko,누마타 PA （고속）
沼田ＰＡ,zh-ch,沼田PA（高速）
沼田ＰＡ,zh-tw,沼田PA（高速）
黒川町,ja,黒川町
黒川町,ja-Hrkt,くろかわちょう
牛田本町,ja,牛田本町
牛田本町,ja-Hrkt,うしたほんまち
切田,ja,切田
切田,ja-Hrkt,きりた
東観音台中央,ja,東観音台中央
東観音台中央,ja-Hrkt,ひがしかんのんだいちゅうおう
東観音台中央,en,Higashi-kannondai-chuo
東観音台中央,ko,히가시칸논다이 추오
東観音台中央,zh-ch,东观音台中央
東観音台中央,zh-tw,東觀音臺中央
兼広,ja,兼広
兼広,ja-Hrkt,かねひろ
兼広,en,Kanehiro
兼広,ko,가네히로
兼広,zh-ch,兼广
兼広,zh-tw,兼廣
合同庁舎入口,ja,合同庁舎入口
合同庁舎入口,ja-Hrkt,ごうどうちょうしゃいりぐち
三篠町三丁目,ja,三篠町三丁目
三篠町三丁目,ja-Hrkt,みささまちさんちょうめ
本通３丁目,ja,本通３丁目
本通３丁目,ja-Hrkt,ほんどおりさんちょうめ
仁保南２番,ja,仁保南２番
仁保南２番,ja-Hrkt,にほみなみにばん
仁保南２番,en,Niho-minami-niban (Niho-minami 2)
仁保南２番,ko,니호 미나미 2반
仁保南２番,zh-ch,仁保南2番
仁保南２番,zh-tw,仁保南2番
汐込川,ja,汐込川
汐込川,ja-Hrkt,しおこみがわ
上峠,ja,上峠
上峠,ja-Hrkt,かみとうげ
箕角,ja,箕角
箕角,ja-Hrkt,みのすみ
箕角,en,Minosumi
箕角,ko,미노스미
箕角,zh-ch,箕角
箕角,zh-tw,箕角
仁保南４番,ja,仁保南４番
仁保南４番,ja-Hrkt,にほみなみよんばん
仁保南４番,en,Niho-minami-yomban (Niho-minami 4)
仁保南４番,ko,니호 미나미 4반
仁保南４番,zh-ch,仁保南4番
仁保南４番,zh-tw,仁保南4番
保健所前,ja,保健所前
保健所前,ja-Hrkt,ほけんしょまえ
丁川,ja,丁川
丁川,ja-Hrkt,よろがわ
美鈴西五丁目,ja,美鈴西五丁目
美鈴西五丁目,ja-Hrkt,みすずがおかにしごちょうめ
美鈴西五丁目,en,Misuzugaoka-nishi-gochome (Misuzugaoka-nishi 5)
美鈴西五丁目,ko,미스즈가오카 니시 5초메
美鈴西五丁目,zh-ch,美铃丘西五丁目
美鈴西五丁目,zh-tw,美鈴丘西五丁目
中田口,ja,中田口
中田口,ja-Hrkt,なかたぐち
絵下山入口,ja,絵下山入口
絵下山入口,ja-Hrkt,えげざんいりぐち
絵下山入口,en,Egezan-iriguchi
絵下山入口,ko,에게잔 산
絵下山入口,zh-ch,绘下山入口
絵下山入口,zh-tw,繪下山入口
ＩＨＩ前,ja,ＩＨＩ前
ＩＨＩ前,ja-Hrkt,あいえいちあいまえ
辰川,ja,辰川
辰川,ja-Hrkt,たつかわ
牛田大橋,ja,牛田大橋
牛田大橋,ja-Hrkt,うしたおおはし
加計山崎,ja,加計山崎
加計山崎,ja-Hrkt,かけやまさき
廿日市市役所,ja,廿日市市役所
廿日市市役所,ja-Hrkt,はつかいちしやくしょ
廿日市市役所,en,Hatsukaichi Shiyakusho (Hatsukaichi City Hall)
廿日市市役所,ko,하쓰카이치 시야쿠쇼
廿日市市役所,zh-ch,廿日市市政府
廿日市市役所,zh-tw,廿日市市政府
中央２丁目,ja,中央２丁目
中央２丁目,ja-Hrkt,ちゅうおうにちょうめ
中央２丁目,en,Chuo-nichome (Chuo 2)
中央２丁目,ko,주오 2초메
中央２丁目,zh-ch,中央2丁目
中央２丁目,zh-tw,中央2丁目
植物公園,ja,植物公園
植物公園,ja-Hrkt,しょくぶつこうえん
彩が丘団地,ja,彩が丘団地
彩が丘団地,ja-Hrkt,あやがおかだんち
平岩陸橋,ja,平岩陸橋
平岩陸橋,ja-Hrkt,ひらいわりっきょう
平岩陸橋,en,Hiraiwa Rikkyo
平岩陸橋,ko,히라이와 릿쿄
平岩陸橋,zh-ch,平岩陆桥
平岩陸橋,zh-tw,平巖陸橋
仁方桟橋入口,ja,仁方桟橋入口
仁方桟橋入口,ja-Hrkt,にがたさんばしいりぐち
寺屋敷,ja,寺屋敷
寺屋敷,ja-Hrkt,てらやしき
城南中学校前,ja,城南中学校前
城南中学校前,ja-Hrkt,じょうなんちゅうがっ
新生,ja,新生
新生,ja-Hrkt,しんせい
淀川製鋼前,ja,淀川製鋼前
淀川製鋼前,ja-Hrkt,よどがわせいこうまえ
こころ南,ja,こころ南
こころ南,ja-Hrkt,こころみなみ
さくら野団地上,ja,さくら野団地上
さくら野団地上,ja-Hrkt,さくらのだんちかみ
警固屋５丁目,ja,警固屋５丁目
警固屋５丁目,ja-Hrkt,けごやごちょうめ
広島高等技術専門校,ja,広島高等技術専門校
広島高等技術専門校,ja-Hrkt,ひろしまこうとうぎじゅつせんもんこうまえ
広島高等技術専門校,en,Hiroshima Kotogijutsu Senmonko-mae (Hiroshima Vocational Training Center)
広島高等技術専門校,ko,히로시마 코토 기주쓰 센몬코 마에
広島高等技術専門校,zh-ch,广岛高等技术专科学校前
広島高等技術専門校,zh-tw,廣島高等技術專科學校前
大上,ja,大上
大上,ja-Hrkt,おおあげ
大畑,ja,大畑
大畑,ja-Hrkt,おおばた
岡の下橋,ja,岡の下橋
岡の下橋,ja-Hrkt,おかのしたばし
岡の下橋,en,Okanoshitabashi
岡の下橋,ko,오카노시타바시
岡の下橋,zh-ch,冈之下桥
岡の下橋,zh-tw,岡之下橋
石内原田,ja,石内原田
石内原田,ja-Hrkt,いしうちはらだ
友田,ja,友田
友田,ja-Hrkt,ともだ
加茂,ja,加茂
加茂,ja-Hrkt,かも
加茂,en,Kamo
加茂,ko,가모
加茂,zh-ch,加茂
加茂,zh-tw,加茂
巴橋,ja,巴橋
巴橋,ja-Hrkt,ともえばし
宮原７丁目,ja,宮原７丁目
宮原７丁目,ja-Hrkt,みやはらななちょうめ
宮原７丁目,en,Miyahara-nanachome (Miyahara 7)
宮原７丁目,ko,미야하라 7초메
宮原７丁目,zh-ch,宫原7丁目
宮原７丁目,zh-tw,宮原7丁目
本通５丁目,ja,本通５丁目
本通５丁目,ja-Hrkt,ほんどおりごちょうめ
上沖,ja,上沖
上沖,ja-Hrkt,うわおき
赤崎,ja,赤崎
赤崎,ja-Hrkt,あかさき
赤崎,en,Akasaki
赤崎,ko,아카사키
赤崎,zh-ch,赤崎
赤崎,zh-tw,赤崎
的場町,ja,的場町
的場町,ja-Hrkt,まとばちょう
兎の口,ja,兎の口
兎の口,ja-Hrkt,うさぎのくち
本浦,ja,本浦
本浦,ja-Hrkt,ほんうら
阿品台公園前,ja,阿品台公園前
阿品台公園前,ja-Hrkt,あじなだいこうえんまえ
昭和台,ja,昭和台
昭和台,ja-Hrkt,しょうわだい
昭和台,en,Showadai
昭和台,ko,쇼와다이
昭和台,zh-ch,昭和台
昭和台,zh-tw,昭和臺
阿品台西,ja,阿品台西
阿品台西,ja-Hrkt,あじなだいにし
阿品台西,en,Ajinadai-nishi
阿品台西,ko,아지나다이 니시
阿品台西,zh-ch,阿品台西
阿品台西,zh-tw,阿品臺西
