trans_id,lang,translation,category,station_sid,course_sid
伴南小学校,ja,伴南小学校,stop_name,4baf7c00-34fa-4954-9075-bc1c19802b29,
伴南小学校,ja-Hrkt,ともみなみしょうがっこう,stop_name,4baf7c00-34fa-4954-9075-bc1c19802b29,
向洋新町一丁目,ja,向洋新町一丁目,stop_name,a47a1390-708b-4e5f-ba49-2514c6a40094,
向洋新町一丁目,ja-Hrkt,むかいなだしんまちいっちょうめ,stop_name,a47a1390-708b-4e5f-ba49-2514c6a40094,
グランドハイツ前,ja,グランドハイツ前,stop_name,f9b44880-ef25-499a-a1b0-b46ba2bca680,
グランドハイツ前,ja-Hrkt,ぐらんどはいつまえ,stop_name,f9b44880-ef25-499a-a1b0-b46ba2bca680,
沼田ＰＡ,ja,沼田ＰＡ,stop_name,1c6d1bea-17e8-4321-9498-f5686893e947,
沼田ＰＡ,ja-Hrkt,ぬまたぱーきんぐ,stop_name,1c6d1bea-17e8-4321-9498-f5686893e947,
沼田ＰＡ,en,Numata Parking,stop_name,1c6d1bea-17e8-4321-9498-f5686893e947,
沼田ＰＡ,ko,누마타 PA （고속）,stop_name,1c6d1bea-17e8-4321-9498-f5686893e947,
沼田ＰＡ,zh-ch,沼田PA（高速）,stop_name,1c6d1bea-17e8-4321-9498-f5686893e947,
沼田ＰＡ,zh-tw,沼田PA（高速）,stop_name,1c6d1bea-17e8-4321-9498-f5686893e947,
黒川町,ja,黒川町,stop_name,bbbc2d25-ce63-457d-a5d6-5530adc9fc16,
黒川町,ja-Hrkt,くろかわちょう,stop_name,bbbc2d25-ce63-457d-a5d6-5530adc9fc16,
牛田本町,ja,牛田本町,stop_name,2945492c-cd2b-4afd-9bd2-57f3814977f5,
牛田本町,ja-Hrkt,うしたほんまち,stop_name,2945492c-cd2b-4afd-9bd2-57f3814977f5,
切田,ja,切田,stop_name,6765e8a6-1306-4cf5-bf32-1d061cb3f3aa,
切田,ja-Hrkt,きりた,stop_name,6765e8a6-1306-4cf5-bf32-1d061cb3f3aa,
東観音台中央,ja,東観音台中央,stop_name,055a494d-f110-4037-9b71-5d4b9ea75cee,
東観音台中央,ja-Hrkt,ひがしかんのんだいちゅうおう,stop_name,055a494d-f110-4037-9b71-5d4b9ea75cee,
東観音台中央,en,Higashi-kannondai-chuo,stop_name,055a494d-f110-4037-9b71-5d4b9ea75cee,
東観音台中央,ko,히가시칸논다이 추오,stop_name,055a494d-f110-4037-9b71-5d4b9ea75cee,
東観音台中央,zh-ch,东观音台中央,stop_name,055a494d-f110-4037-9b71-5d4b9ea75cee,
東観音台中央,zh-tw,東觀音臺中央,stop_name,055a494d-f110-4037-9b71-5d4b9ea75cee,
兼広,ja,兼広,stop_name,775b5a58-aeff-45a6-92ac-4bb8f70cb2a4,
兼広,ja-Hrkt,かねひろ,stop_name,775b5a58-aeff-45a6-92ac-4bb8f70cb2a4,
兼広,en,Kanehiro,stop_name,775b5a58-aeff-45a6-92ac-4bb8f70cb2a4,
兼広,ko,가네히로,stop_name,775b5a58-aeff-45a6-92ac-4bb8f70cb2a4,
兼広,zh-ch,兼广,stop_name,775b5a58-aeff-45a6-92ac-4bb8f70cb2a4,
兼広,zh-tw,兼廣,stop_name,775b5a58-aeff-45a6-92ac-4bb8f70cb2a4,
合同庁舎入口,ja,合同庁舎入口,stop_name,4de5a048-48a7-4df4-a42c-b7c82d05b8a0,
合同庁舎入口,ja-Hrkt,ごうどうちょうしゃいりぐち,stop_name,4de5a048-48a7-4df4-a42c-b7c82d05b8a0,
三篠町三丁目,ja,三篠町三丁目,stop_name,bca5ef64-d8f2-4130-8429-70df08697d75,
三篠町三丁目,ja-Hrkt,みささまちさんちょうめ,stop_name,bca5ef64-d8f2-4130-8429-70df08697d75,
本通３丁目,ja,本通３丁目,stop_name,785c0272-a536-4ffa-bb81-2e8949098ed2,
本通３丁目,ja-Hrkt,ほんどおりさんちょうめ,stop_name,785c0272-a536-4ffa-bb81-2e8949098ed2,
仁保南２番,ja,仁保南２番,stop_name,70113abf-52de-4443-bb72-85ca9a31b5d8,
仁保南２番,ja-Hrkt,にほみなみにばん,stop_name,70113abf-52de-4443-bb72-85ca9a31b5d8,
仁保南２番,en,Niho-minami-niban (Niho-minami 2),stop_name,70113abf-52de-4443-bb72-85ca9a31b5d8,
仁保南２番,ko,니호 미나미 2반,stop_name,70113abf-52de-4443-bb72-85ca9a31b5d8,
仁保南２番,zh-ch,仁保南2番,stop_name,70113abf-52de-4443-bb72-85ca9a31b5d8,
仁保南２番,zh-tw,仁保南2番,stop_name,70113abf-52de-4443-bb72-85ca9a31b5d8,
汐込川,ja,汐込川,stop_name,e9cff847-008e-4c9d-ab21-23292eda5c6c,
汐込川,ja-Hrkt,しおこみがわ,stop_name,e9cff847-008e-4c9d-ab21-23292eda5c6c,
上峠,ja,上峠,stop_name,4d2b5e42-42d7-46ef-896c-f862942ccd17,
上峠,ja-Hrkt,かみとうげ,stop_name,4d2b5e42-42d7-46ef-896c-f862942ccd17,
箕角,ja,箕角,stop_name,dc0532ab-4c98-44f8-b92b-b9e0c2801053,
箕角,ja-Hrkt,みのすみ,stop_name,dc0532ab-4c98-44f8-b92b-b9e0c2801053,
箕角,en,Minosumi,stop_name,dc0532ab-4c98-44f8-b92b-b9e0c2801053,
箕角,ko,미노스미,stop_name,dc0532ab-4c98-44f8-b92b-b9e0c2801053,
箕角,zh-ch,箕角,stop_name,dc0532ab-4c98-44f8-b92b-b9e0c2801053,
箕角,zh-tw,箕角,stop_name,dc0532ab-4c98-44f8-b92b-b9e0c2801053,
仁保南４番,ja,仁保南４番,stop_name,213fe665-60ef-47d8-abe5-9bcb52c31b68,
仁保南４番,ja-Hrkt,にほみなみよんばん,stop_name,213fe665-60ef-47d8-abe5-9bcb52c31b68,
仁保南４番,en,Niho-minami-yomban (Niho-minami 4),stop_name,213fe665-60ef-47d8-abe5-9bcb52c31b68,
仁保南４番,ko,니호 미나미 4반,stop_name,213fe665-60ef-47d8-abe5-9bcb52c31b68,
仁保南４番,zh-ch,仁保南4番,stop_name,213fe665-60ef-47d8-abe5-9bcb52c31b68,
仁保南４番,zh-tw,仁保南4番,stop_name,213fe665-60ef-47d8-abe5-9bcb52c31b68,
保健所前,ja,保健所前,stop_name,88e9da8c-fde6-45b9-95c0-2f88eace9dea,
保健所前,ja-Hrkt,ほけんしょまえ,stop_name,88e9da8c-fde6-45b9-95c0-2f88eace9dea,
丁川,ja,丁川,stop_name,7543819c-e1cf-43e0-ac57-924091531602,
丁川,ja-Hrkt,よろがわ,stop_name,7543819c-e1cf-43e0-ac57-924091531602,
美鈴西五丁目,ja,美鈴西五丁目,stop_name,9b60f472-72f3-4e1a-a2a8-9434f88e4d6c,
美鈴西五丁目,ja-Hrkt,みすずがおかにしごちょうめ,stop_name,9b60f472-72f3-4e1a-a2a8-9434f88e4d6c,
美鈴西五丁目,en,Misuzugaoka-nishi-gochome (Misuzugaoka-nishi 5),stop_name,9b60f472-72f3-4e1a-a2a8-9434f88e4d6c,
美鈴西五丁目,ko,미스즈가오카 니시 5초메,stop_name,9b60f472-72f3-4e1a-a2a8-9434f88e4d6c,
美鈴西五丁目,zh-ch,美铃丘西五丁目,stop_name,9b60f472-72f3-4e1a-a2a8-9434f88e4d6c,
美鈴西五丁目,zh-tw,美鈴丘西五丁目,stop_name,9b60f472-72f3-4e1a-a2a8-9434f88e4d6c,
中田口,ja,中田口,stop_name,600a8f71-f46c-4b94-982d-f61cfec82d10,
中田口,ja-Hrkt,なかたぐち,stop_name,600a8f71-f46c-4b94-982d-f61cfec82d10,
絵下山入口,ja,絵下山入口,stop_name,6f8c905c-f69e-4ffb-a907-351d05fff2eb,
絵下山入口,ja-Hrkt,えげざんいりぐち,stop_name,6f8c905c-f69e-4ffb-a907-351d05fff2eb,
絵下山入口,en,Egezan-iriguchi,stop_name,6f8c905c-f69e-4ffb-a907-351d05fff2eb,
絵下山入口,ko,에게잔 산,stop_name,6f8c905c-f69e-4ffb-a907-351d05fff2eb,
絵下山入口,zh-ch,绘下山入口,stop_name,6f8c905c-f69e-4ffb-a907-351d05fff2eb,
絵下山入口,zh-tw,繪下山入口,stop_name,6f8c905c-f69e-4ffb-a907-351d05fff2eb,
ＩＨＩ前,ja,ＩＨＩ前,stop_name,43952c23-e0fb-44a3-9959-36dc0e00bb60,
ＩＨＩ前,ja-Hrkt,あいえいちあいまえ,stop_name,43952c23-e0fb-44a3-9959-36dc0e00bb60,
辰川,ja,辰川,stop_name,cc84cec2-d76f-463c-a1fb-72f9d8344963,
辰川,ja-Hrkt,たつかわ,stop_name,cc84cec2-d76f-463c-a1fb-72f9d8344963,
牛田大橋,ja,牛田大橋,stop_name,c3040c6f-644f-449a-9db2-441a43fc9b9f,
牛田大橋,ja-Hrkt,うしたおおはし,stop_name,c3040c6f-644f-449a-9db2-441a43fc9b9f,
加計山崎,ja,加計山崎,stop_name,f5030d82-71f0-44e5-b731-33b36e82fb09,
加計山崎,ja-Hrkt,かけやまさき,stop_name,f5030d82-71f0-44e5-b731-33b36e82fb09,
廿日市市役所,ja,廿日市市役所,stop_name,febe8fee-f040-44e9-b1ad-6fc96dc08a5f,
廿日市市役所,ja-Hrkt,はつかいちしやくしょ,stop_name,febe8fee-f040-44e9-b1ad-6fc96dc08a5f,
