daiya_sid,bin_no,course_sid
ce051fa3-adb2-4adf-8e47-021d9d5e3a65,8,190883ba-aed3-420d-8f74-01599493982f
b0bdbed3-6289-4c95-8c96-335ddcbaf9c7,4,190883ba-aed3-420d-8f74-01599493982f
31ca3142-db17-4973-a18b-429f78e06f9b,6,190883ba-aed3-420d-8f74-01599493982f
fa613b0f-6e24-45be-8d4e-789a7044338f,2,190883ba-aed3-420d-8f74-01599493982f
e113b47a-b642-4ca3-ab6e-847690376248,9,190883ba-aed3-420d-8f74-01599493982f
1689cd3e-ef85-4337-8f75-678139541e99,5,190883ba-aed3-420d-8f74-01599493982f
ce28ea32-3328-4f9d-b487-5f9fc1ff6153,7,190883ba-aed3-420d-8f74-01599493982f
dada668c-452d-4635-b7ba-8dc3379bbb44,1,190883ba-aed3-420d-8f74-01599493982f
8b42dbe2-385e-41fd-9f0b-cf3d0f1d1756,3,190883ba-aed3-420d-8f74-01599493982f
f6d853cf-2a7a-4a86-83b6-896cc4fdea62,15,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
230cb709-1d0d-433f-ae27-9364bb0255de,2,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
0509ef4d-b9ad-4dbb-8e61-8f519307bfe9,13,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
46757fa8-2e66-4404-b208-94bad910505c,10,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
8efccdd2-8367-468b-9b00-95cca0e0733a,4,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
55941ac3-806e-4003-bb40-97a8d535a2cf,14,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
b1a6fbff-3abc-482d-8070-9ff7fb6afb4f,11,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
0b491090-bf44-44fe-8f3d-5ff48504a01c,4,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
75fbf291-b70f-41c2-a591-602faccd5172,4,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
1b5bc1b0-3b6e-4e1e-8c00-61ae96e3d329,12,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
cedfc300-0624-4d91-aa59-6671334a6cce,6,d6ab5d5a-6b38-4b1d-8fd3-01c09628b78f
